Linwood Butterfly Nightly;https://f-droid.org/en/packages/dev.linwood.butterfly.nightly/;https://f-droid.org/repo/dev.linwood.butterfly.nightly_117.apk;This version requires Android 5.0 or newer.;https://github.com/LinwoodDev/Butterfly;https://github.com/LinwoodDev/Butterfly/issues;2.2.1-rc.0;view network connections <-> take pictures and videos <-> have full network access <-> read the contents of your shared storage <-> record audio <-> reorder running apps <-> modify or delete the contents of your shared storage <-> dev.linwood.butterfly.nightly.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Tasks.org: Open-source To-Do Lists & Reminders;https://f-droid.org/en/packages/org.tasks/;https://f-droid.org/repo/org.tasks_131106.apk;This version requires Android 7.0 or newer.;https://github.com/tasks/tasks;https://github.com/tasks/tasks/issues;13.11.1;access location in the background <-> access approximate location only in the foreground <-> access precise location only in the foreground <-> view network connections <-> run foreground service <-> find accounts on the device <-> have full network access <-> show notifications <-> android.permission.READ_APP_BADGE <-> Read calendar events and details <-> read sync statistics <-> run at startup <-> Schedule precisely timed actions <-> control vibration <-> prevent phone from sleeping <-> add or modify calendar events and send email to guests without owners' knowledge <-> com.anddoes.launcher.permission.UPDATE_COUNT <-> install shortcuts <-> com.google.android.googleapps.permission.GOOGLE_AUTH <-> com.google.android.providers.gsf.permission.READ_GSERVICES <-> com.htc.launcher.permission.READ_SETTINGS <-> com.htc.launcher.permission.UPDATE_SHORTCUT <-> com.huawei.android.launcher.permission.CHANGE_BADGE <-> com.huawei.android.launcher.permission.READ_SETTINGS <-> com.huawei.android.launcher.permission.WRITE_SETTINGS <-> com.majeur.launcher.permission.UPDATE_BADGE <-> com.oppo.launcher.permission.READ_SETTINGS <-> com.oppo.launcher.permission.WRITE_SETTINGS <-> com.sec.android.provider.badge.permission.READ <-> com.sec.android.provider.badge.permission.WRITE <-> com.sonyericsson.home.permission.BROADCAST_BADGE <-> com.sonymobile.home.permission.PROVIDER_INSERT_BADGE <-> me.everything.badger.permission.BADGE_COUNT_READ <-> me.everything.badger.permission.BADGE_COUNT_WRITE <-> org.tasks.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Buckwheat: Budget manager;https://f-droid.org/en/packages/com.danilkinkin.buckwheat/;https://f-droid.org/repo/com.danilkinkin.buckwheat_28.apk;This version requires Android 8.0 or newer.;https://github.com/danilkinkin/buckwheat/;https://github.com/danilkinkin/buckwheat/issues/;4.7.0;run foreground service <-> run at startup <-> com.danilkinkin.buckwheat.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Diary;https://f-droid.org/en/packages/org.billthefarmer.diary/;https://f-droid.org/repo/org.billthefarmer.diary_1105.apk;This version requires Android 5.0 or newer.;https://github.com/billthefarmer/diary;https://github.com/billthefarmer/diary/issues;1.105;have full network access <-> Read calendar events and details <-> read the contents of your shared storage <-> add or modify calendar events and send email to guests without owners' knowledge <-> modify or delete the contents of your shared storage <-> 
EteSync - Secure Data Sync;https://f-droid.org/en/packages/com.etesync.syncadapter/;https://f-droid.org/repo/com.etesync.syncadapter_20404.apk;This version requires Android 5.0 or newer.;https://github.com/etesync/android;https://github.com/etesync/android/issues;2.4.4;view network connections <-> view Wi-Fi connections <-> android.permission.AUTHENTICATE_ACCOUNTS <-> find accounts on the device <-> have full network access <-> android.permission.MANAGE_ACCOUNTS <-> show notifications <-> Read calendar events and details <-> read your contacts <-> read the contents of your shared storage <-> read image files from shared storage <-> read sync settings <-> read sync statistics <-> ask to ignore battery optimizations <-> add or modify calendar events and send email to guests without owners' knowledge <-> modify your contacts <-> modify or delete the contents of your shared storage <-> toggle sync on and off <-> org.dmfs.permission.READ_TASKS <-> org.dmfs.permission.WRITE_TASKS <-> org.tasks.permission.READ_TASKS <-> org.tasks.permission.WRITE_TASKS <-> 
Finamp;https://f-droid.org/en/packages/com.unicornsonlsd.finamp/;https://f-droid.org/repo/com.unicornsonlsd.finamp_46.apk;This version requires Android 5.0 or newer.;https://github.com/UnicornsOnLSD/finamp;https://github.com/UnicornsOnLSD/finamp/issues;0.6.23;view network connections <-> run foreground service <-> have full network access <-> show notifications <-> read the contents of your shared storage <-> run at startup <-> prevent phone from sleeping <-> modify or delete the contents of your shared storage <-> com.unicornsonlsd.finamp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Memories: Photo Management for Nextcloud;https://f-droid.org/en/packages/gallery.memories/;https://f-droid.org/repo/gallery.memories_12.apk;This version requires Android 8.1 or newer.;https://github.com/pulsejet/memories;https://github.com/pulsejet/memories/issues;1.12;android.permission.ACCESS_DOWNLOAD_MANAGER <-> view network connections <-> have full network access <-> read the contents of your shared storage <-> read image files from shared storage <-> read video files from shared storage <-> gallery.memories.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Sound Recorder Plus;https://f-droid.org/en/packages/org.codeberg.genericpers0n.soundrecorderplus/;https://f-droid.org/repo/org.codeberg.genericpers0n.soundrecorderplus_110.apk;This version requires Android 7.0 or newer.;https://codeberg.org/generic-pers0n/SoundRecorderPlus;https://codeberg.org/generic-pers0n/SoundRecorderPlus/issues;1.1.0;read the contents of your shared storage <-> record audio <-> modify or delete the contents of your shared storage <-> org.codeberg.genericpers0n.soundrecorderplus.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Auxio;https://f-droid.org/en/packages/org.oxycblt.auxio/;https://f-droid.org/repo/org.oxycblt.auxio_49.apk;This version requires Android 7.0 or newer.;https://github.com/OxygenCobalt/Auxio;https://github.com/OxygenCobalt/Auxio/issues;3.5.3;run foreground service <-> run foreground service with the type "dataSync" <-> run foreground service with the type "mediaPlayback" <-> run foreground service with the type "specialUse" <-> show notifications <-> read the contents of your shared storage <-> read audio files from shared storage <-> prevent phone from sleeping <-> org.oxycblt.auxio.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
BitBanana;https://f-droid.org/en/packages/app.michaelwuensch.bitbanana/;https://f-droid.org/repo/app.michaelwuensch.bitbanana_63.apk;This version requires Android 8.0 or newer.;https://github.com/michaelWuensch/BitBanana;https://github.com/michaelWuensch/BitBanana/issues;0.8.6;view network connections <-> take pictures and videos <-> run foreground service <-> have full network access <-> control Near Field Communication <-> use biometric hardware <-> use fingerprint hardware <-> control vibration <-> app.michaelwuensch.bitbanana.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> com.wireguard.android.permission.CONTROL_TUNNELS <-> 
Chaldea;https://f-droid.org/en/packages/cc.narumi.chaldea.fdroid/;https://f-droid.org/repo/cc.narumi.chaldea.fdroid_975.apk;This version requires Android 6.0 or newer.;https://github.com/chaldea-center/chaldea;https://github.com/chaldea-center/chaldea/issues;2.5.14;view network connections <-> have full network access <-> read the contents of your shared storage <-> modify or delete the contents of your shared storage <-> cc.narumi.chaldea.fdroid.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> com.google.android.gms.permission.AD_ID <-> 
Taler Wallet;https://f-droid.org/en/packages/net.taler.wallet.fdroid/;https://f-droid.org/repo/net.taler.wallet.fdroid_474.apk;This version requires Android 7.0 or newer.;https://git.taler.net/taler-android.git/;https://bugs.gnunet.org/;0.13.2;view network connections <-> view Wi-Fi connections <-> take pictures and videos <-> change network connectivity <-> connect and disconnect from Wi-Fi <-> have full network access <-> control Near Field Communication <-> read the contents of your shared storage <-> modify or delete the contents of your shared storage <-> net.taler.wallet.fdroid.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
